COUNTRY,TF14,YEAR,mean_perc,SE420,SE605,SE131,SE136,SE207,SE270,SE281,SE336,SE360,SE370,SE375,SE380,SE135,SE206,SE256,SE600,SE405,SE132,SE425,SE011,plus,miners
(ESP) Spain,(80) Mixed crops and livestock,2004,3.0527385113380054,32034.0,13694.0,44698.0,375.30284459,822.56814184,26187.0,15608.0,5541.0,1841.0,1493.0,1553.0,150.0,22861.0,21302.0,534.0,13750.0,-227.0,1.7068855268,25365.619323,2719.51,58221.0,26186.0
(EST) Estonia,(15) Specialist COP,2004,17.56756756756757,17398.0,13715.0,37246.0,228.65145278,1031.0876311000002,40268.0,18114.0,11102.0,7346.0,1981.0,540.0,1184.0,32866.0,1002.0,3379.0,13351.0,7069.0,0.9249604858,8244.5662934,3941.53,57666.0,40268.0
(EST) Estonia,(16) Specialist other fieldcrops,2004,10.319410319410318,6205.0,4773.0,19545.0,353.95508538,410.82827881,19876.0,7271.0,5660.0,5404.0,1148.0,106.0,287.0,16242.0,460.0,2843.0,4795.0,1741.0,0.9833163668000001,3564.9945695,3805.2,26081.0,19876.0
(EST) Estonia,(20) Specialist horticulture,2004,4.2997542997543,11494.0,1017.0,82059.0,5746.6184456,674.73216087,75663.0,23822.0,25646.0,5911.0,18749.0,900.0,636.0,62870.0,47.0,19142.0,1406.0,3693.0,1.0845330660999999,5840.400331700001,10643.35,87158.0,75663.0
(EST) Estonia,(36) Specialist orchards - fruits,2004,0.2457002457002457,,,,,,,,,,,,,,,,,,,,,,
(EST) Estonia,(45) Specialist milk,2004,20.024570024570025,31613.0,19485.0,107696.0,162.67169335,873.11843172,99689.0,48612.0,21338.0,9729.0,18313.0,560.0,1137.0,30483.0,71456.0,5757.0,19460.0,4145.0,1.0803196733,8613.1005977,12601.1,131301.0,99689.0
(EST) Estonia,(48) Specialist sheep and goats,2004,2.5798525798525795,,,,,,,,,,,,,,,,,,,,,,
(EST) Estonia,(49) Specialist cattle,2004,9.950859950859952,11296.0,9789.0,17975.0,80.65664704,324.64314805,18753.0,9484.0,5661.0,2566.0,495.0,256.0,292.0,7530.0,8268.0,2177.0,9859.0,2215.0,0.9584853893,5639.7552061999995,4508.05,30049.0,18754.0
(EST) Estonia,(50) Specialist granivores,2004,2.7027027027027026,35308.0,6551.0,270711.0,276.39716498,660.6396415,246252.0,172718.0,31771.0,17730.0,20195.0,647.0,3190.0,19887.0,189036.0,61788.0,6497.0,4352.0,1.0993274832,9352.3453453,13067.28,281560.0,246252.0
(EST) Estonia,(60) Mixed crops,2004,15.847665847665848,,,,,,,,,,,,,,,,,,,,,,
(EST) Estonia,(70) Mixed livestock,2004,1.9656019656019657,,,,,,,,,,,,,,,,,,,,,,
(EST) Estonia,(80) Mixed crops and livestock,2004,14.496314496314497,9366.0,6637.0,24060.0,209.40394317,620.24759203,22455.0,11553.0,5513.0,3046.0,1832.0,140.0,371.0,12924.0,9052.0,2084.0,6712.0,1049.0,1.0714712302,5423.8192897,4449.83,31821.0,22455.0
(FRA) France,(15) Specialist COP,2004,12.508726280383323,25068.0,47716.0,93038.0,721.89760559,563.34720559,113727.0,38631.0,30910.0,24491.0,3169.0,12725.0,3801.0,83299.0,2511.0,7227.0,45551.0,206.0,0.8180804688,32319.253364999997,2214.27,138795.0,113727.0
